"","acreana","acrocephala","acuminata","alata","alba","aria","auristellae","bourgonii","brachyrhachis.aff","brachystachys","brachystachys.aff","brevialata","brevipes","capitata12","capitata33","capitata35","cayennensis","chartacea","cinnamomea","cocleensis","cordatoalata","coruscans","cylindrica","edulis","fastuosa","flagelliformis","fosteriana","glomeriflora","goldmanii","gracilifolia","grandiflora","heterophylla","huberi","ingoides","jenmanii","kursarii","LA17","LA41","LA48","lateriflora","laurina","leiocalycina","leiocalycina.aff","lomatophylla","longiflora","longipedunculata","loubryana","M18","M25","M27b","M30","M71","marginata","melinonis","microcoma","multinervis","no phylogney","nobilis","nouragensis","obidensis","oerstediana","paraensis","pezizifera","pezizifera.aff","pitmanii","poeppigiana","punctata","retinocarpa","rubiginosa","ruiziana","sapindoides","sertulifera","setosa","spectabilis","splendens","stipularis","striata","suaveolens","subcapitata","T18","T21","T29","T50","T51","T82","T85","T88","tenuistipula","thibaudiana","tomentosa","ulei","umbellifera","umbellifera.aff","umbratica","velutina","venusta","vera","virgultosa","vismiifolia","Zygia mediana"
"acreana",1,0.251395517539463,0.0508587263093259,0.0904006948817736,0.0710667778723044,0.0568421869106797,0.338018172262149,0.096787423207117,0.0439207977524232,0.0495692641494208,0.0588077523192686,0.0662613622647001,0.0531303097373516,0.0463424253192707,0.0462582515735566,0.0442053545394161,0.0611649344867022,0.296311604896093,0.0719791767424389,0.0557315269332886,0.0496287782684773,0.0873222134540872,0.111560686598919,0.0741386128286397,0.0814177708963577,0.0526389700767818,0.0451128799751948,0.0509895841691256,0.068288235910896,0.0545726444674827,0.071019062776201,0.043682234412393,0.0455808830552537,0.0665495564531188,0.0702131580292538,0.0383034035366821,0.0427166676810751,0.0490682911205781,0.0560241882481354,0.0549437808163633,0.0583255308556648,0.0872995394526734,0.0643877162348006,0.067279454402466,0.0573843954739572,0.0576571470875286,0.0483499661485957,0.105711436924414,0.0555341095994178,0.0693862118667938,0.0591441247745271,0.0756485389833682,0.173706298887243,0.249813586576831,0.0632641800673681,0.232712216665073,NA,0.0723098705871715,0.102800569007155,0.048350610123103,0.0737504772830436,0.069689550890475,0.0719458193336101,0.0880188720947845,0.306166146614879,0.0822627922737513,0.0740072059979019,0.0584422120554332,0.0700762463561851,0.0721306678554451,0.0632428272446111,0.0622384842868864,0.0560126005372786,0.0578589751268611,0.0574160660764488,0.0712078233042057,0.0952661547749407,0.0701154000667026,0.028038944131911,0.171988615158687,0.0520786631382772,0.104172832971113,0.0595552827939816,0.0691940085927184,0.0657430134523594,0.0393691904420692,0.0244581676175926,0.0501547981586906,0.0756131446386483,0.287089037391388,0.037820004887791,0.064926215912466,0.0536741039919763,0.061609854022987,0.0354548980186241,0.0728034408435606,0.060357984621496,0.0429320459573853,0.0603720818062186,0.0792964165514745
"acrocephala",0.251395517539463,1,0.024574734098208,0.0678871903746328,0.0417302646135894,0.0347772891689151,0.308384241349621,0.101671394679535,0.0340552433235418,0.0285851859531228,0.0284916184156548,0.0361268918007243,0.03145777831215,0.0261581908899615,0.0337131613042023,0.0283249710892944,0.0223572301007549,0.500554849167611,0.0463403048972333,0.026761064746899,0.0374050934448928,0.0464192469030759,0.0571785952687208,0.0921225776052041,0.0482426446729378,0.0463072289826298,0.0441705934966495,0.0285565177617333,0.082411108638324,0.0277407298474624,0.048122953022112,0.0216449112968441,0.0344121499036851,0.0382465304335843,0.0422370092122677,0.0198683824812407,0.0241832174768667,0.0276131542815532,0.0421224954466527,0.0191044114196101,0.0329958802752858,0.0816162205069148,0.0334401568263632,0.0278642793752442,0.0487309171305675,0.0344640656685028,0.0323973327456056,0.0635816630713025,0.0282443215116938,0.0374573318324578,0.0249437769639102,0.0469367150364079,0.122895459635898,0.369742504664237,0.0490996799554765,0.422290009836412,NA,0.0410510214053273,0.0627708014224761,0.0282165080982888,0.0331817522085728,0.0385491308685275,0.0346853035904371,0.0498587012849521,0.211221083402305,0.0453264435529318,0.0522563761485872,0.0366074458957364,0.0455074472330794,0.0389020078819586,0.0477290399762347,0.0385368943251285,0.0218490571132017,0.0333496029401942,0.0404301362246588,0.0404702571136398,0.0590428083048259,0.026128798677029,0.0108030704773366,0.243274499968074,0.0373428294920236,0.0571993402731979,0.0507459013995383,0.0446484146667195,0.0452762567262499,0.0142699289874595,0.0106254814281907,0.0538697408760508,0.0445426275126711,0.198157584611989,0.0203302852452075,0.0438535090690704,0.0538497425163783,0.0304773920390369,0.0232838736557832,0.0350117142811922,0.0333027967261776,0.0336828515645472,0.0559522466012558,0.0447036715109496
"acuminata",0.0508587263093259,0.024574734098208,1,0.1016777500752,0.0835552783958414,0.495525615617972,0.0758650539172668,0.179645893387774,0.152500855141639,0.222591899978936,0.280193031344427,0.23364121700909,0.324093763556677,0.264173632103014,0.174059350197024,0.251991374608891,0.288070560282821,0.0556997354591045,0.150002603391648,0.585629550432161,0.0887785474915116,0.35013561834693,0.295054423687403,0.147396259077797,0.169876047681928,0.114135313798298,0.14444499431895,0.125802647923071,0.183147976416889,0.305457216258368,0.373427057789392,0.237064926473955,0.0753062052291623,0.261982941707555,0.329138053144293,0.317043564017194,0.132933917110598,0.257076039788028,0.185782520909659,0.28511165473507,0.266063717178311,0.120463855661659,0.131629418469877,0.216409710573848,0.181868534805731,0.49391585700152,0.0797676129724207,0.188035130566763,0.102589397113402,0.320975914076062,0.246527456311909,0.212239044116307,0.120467502712015,0.0367531316317721,0.176410434247349,0.0412354563310729,NA,0.134156546839011,0.141743317597467,0.278144201103452,0.440509973412992,0.396212644671693,0.158918008648144,0.245568719107432,0.0607771360709076,0.440229785447484,0.15141514669944,0.453001119227071,0.176663585520653,0.4354098765544,0.0338881967857746,0.287624917312413,0.402710382593931,0.341100776159144,0.490675219424923,0.111445825959417,0.0540091722666052,0.192714109588857,0.170259829743325,0.032524364498766,0.0741082723024798,0.236113850905161,0.114497036789446,0.119216343595053,0.0897900854027277,0.0984434162570454,0.255803260345179,0.132333777152595,0.158414286262948,0.0880969263324077,0.366430441622743,0.123813764304848,0.368837653180656,0.172837939711416,0.14208186645575,0.442818370056013,0.479748506985992,0.187904962602178,0.18578714833788,0.332683652177439
"alata",0.0904006948817736,0.0678871903746328,0.1016777500752,1,0.134695731300029,0.155065666928887,0.160876275057884,0.102624661151878,0.305647233972809,0.169251747222173,0.102245367663324,0.104039171380534,0.0635302446127879,0.180338826799864,0.295244378156505,0.259486255031647,0.0781292063815009,0.112936792457055,0.0640332908317899,0.112206204671253,0.136809396456234,0.121958543319333,0.145140872318549,0.203832790033653,0.0909017782728313,0.0639425483136437,0.0458015452135145,0.104434103976186,0.110244702931301,0.109290136708104,0.159890101141086,0.142314142758739,0.13859004566623,0.100765998784492,0.172374675441306,0.0851772647099629,0.0923559430892152,0.0730485614477435,0.0566211476612268,0.0740623573647535,0.186431129752824,0.108410033241057,0.0943051373965301,0.084941586508079,0.216174419334094,0.14342999942694,0.179773475717273,0.0984176106678077,0.115098898558258,0.192265050816021,0.0667156917644569,0.0734084065126631,0.173316548283854,0.0508829693677438,0.0574352380160784,0.0505215561759257,NA,0.0640241809947177,0.10803560159233,0.147654013448589,0.125395807344956,0.174835336043626,0.153008098452921,0.302333496905786,0.0753078289803765,0.167580107571187,0.165280785532878,0.160686798504153,0.177358068392979,0.149234340664143,0.0505991686161988,0.154041145902289,0.0967441077450431,0.229188360661641,0.165251046103952,0.114883704594215,0.108052910219079,0.0613346585543952,0.0532869200419578,0.0375674752887876,0.142075231003023,0.0888682253680263,0.226340874891991,0.0810890760716464,0.140091462019319,0.035225305109531,0.0361833762663479,0.0574937591101978,0.194740131047326,0.0696368120075142,0.0883183564944163,0.131076272791901,0.065696697987274,0.101835300468434,0.0273177238367458,0.15676031187247,0.150373192303628,0.183324523115903,0.0627715945167507,0.223984502342508
"alba",0.0710667778723044,0.0417302646135894,0.0835552783958414,0.134695731300029,1,0.0949855112313408,0.131211102064052,0.103448999889045,0.0749949745184392,0.204945204681386,0.206895924293684,0.198426732807737,0.17768914963852,0.0724105928009711,0.0767645657020945,0.0744478259237492,0.0923812427760788,0.0697782752437112,0.0688068579394066,0.0881561136833763,0.135283553487671,0.0810293263249443,0.11989501723771,0.157646351156743,0.10576891594998,0.186158865683734,0.0446255896981835,0.105900912569452,0.0892902382183823,0.0723960372822185,0.107912168806823,0.200552005993061,0.165788828405615,0.127685447559461,0.225379638308677,0.0588193561322859,0.0864952429524045,0.0680286016448738,0.0643383676894816,0.0919328662186012,0.210151842993822,0.14461713778723,0.070278752604135,0.123307550905861,0.14302264825046,0.106712557111261,0.199699152268301,0.0902308259222645,0.237171926960781,0.243545792930215,0.086218282875709,0.109816928843914,0.242260920267833,0.03037321530083,0.0712620367810843,0.0323322370196865,NA,0.0844010703388434,0.0761192171003332,0.1996453327604,0.100224159559225,0.105140631059703,0.082778136651552,0.090210437797272,0.0489476041342522,0.147886830816881,0.226331370967412,0.0943539958204303,0.193086133821592,0.0845134613445273,0.202923483759284,0.21382654108253,0.0696028753086434,0.103547294025766,0.0996752390697545,0.112690080211014,0.19837223807483,0.0698650379274585,0.0376175123061691,0.0286789947354137,0.122566608442676,0.0693985424444034,0.141070205028018,0.0642286530350819,0.143790900837456,0.0327148197336329,0.0379948763907287,0.0582715885832531,0.197140291399442,0.0491866042556829,0.068659617290853,0.200926125393659,0.0696441303711662,0.218520444684744,0.032785338149696,0.103480466684181,0.092458857071076,0.181203383382656,0.0644348773270194,0.153064324286628
"aria",0.0568421869106797,0.0347772891689151,0.495525615617972,0.155065666928887,0.0949855112313408,1,0.100469463931236,0.250928724544024,0.21685668070128,0.293801502857294,0.293281261701499,0.227399097602587,0.296706576875544,0.319615540966144,0.238534564103675,0.320744663702298,0.31753677683623,0.0694630267021413,0.167819706970045,0.63749501283578,0.120198861882163,0.387440707271748,0.322177148818372,0.208648831081197,0.196856013056957,0.110703705370556,0.144662744126193,0.160505841311749,0.246570325504138,0.331857838570049,0.469262390623399,0.27424453041339,0.104270887290856,0.368151569810461,0.407517266381999,0.351970552945732,0.148718628044157,0.318086589346066,0.151256035465232,0.292029137410444,0.346491659621685,0.150802718415829,0.212616165873748,0.241078637191074,0.246058457820693,0.598719202829726,0.118317669896334,0.214628775858431,0.12981844763336,0.369351222757168,0.284119089872848,0.164649321560663,0.134733826247173,0.0463419067556374,0.152536380616443,0.0509514982543691,NA,0.127841283875799,0.171562972127415,0.419721655850762,0.531875778161828,0.479007110350031,0.185125505485427,0.273879960016645,0.0732434039614669,0.442884476383044,0.170454510393737,0.667615541033766,0.20572704806497,0.564134348851387,0.0362070873586264,0.384422318602799,0.462907292401879,0.413545834227802,0.584550829085673,0.181154622285674,0.0652842561489855,0.188890600126705,0.171983014762657,0.0524152305667698,0.116816173873767,0.245246401881327,0.18063331762743,0.148890842617309,0.136604109323236,0.172948024813205,0.337669660275403,0.127235295830443,0.204951478346654,0.0794592421051098,0.580328894785804,0.164550625867022,0.195236372922694,0.202826301902662,0.133784547495039,0.540066298678494,0.69774033895005,0.236226529525941,0.168689685645038,0.426969957028666
"auristellae",0.338018172262149,0.308384241349621,0.0758650539172668,0.160876275057884,0.131211102064052,0.100469463931236,1,0.114175195334498,0.0959062113723381,0.083091706154796,0.0768644194288673,0.0854109200875877,0.0574596368606073,0.079769530435338,0.0981145152138432,0.0837121753752209,0.0674986348290216,0.307350071418093,0.0750251532080992,0.0787019316796864,0.11180081825446,0.0895170042375237,0.117487612892377,0.175773299209061,0.0855739388467697,0.0626723791514117,0.0539701070616428,0.0772299919982905,0.0931068221106842,0.0756064608504263,0.116243696759388,0.0669906905158973,0.0970158046901718,0.0686813185668105,0.127096859656499,0.0648329350590035,0.0656209326748912,0.0615023024092586,0.0589564641854843,0.0512836366179514,0.0938948985980711,0.14195399770633,0.069267910016792,0.0599492280094402,0.194068752772767,0.108624075695644,0.101469487024925,0.100626151677543,0.0716616663031577,0.106133178327058,0.0662226025065328,0.0894096844722284,0.246910512862928,0.284156020729565,0.0658963046525058,0.242653195520704,NA,0.0608513569239837,0.0945212230066359,0.0830051059092897,0.0924446325225231,0.106004977989785,0.0847583662855005,0.0946086056581986,0.283829255344944,0.143940849695155,0.174557308742227,0.111671500922532,0.180574934423462,0.103556707249707,0.110822110870702,0.104676539847214,0.0664461041891239,0.0976879215203289,0.105555983659335,0.0849011211993937,0.121767397486537,0.052613980418144,0.0379956912416694,0.186656188032312,0.0877586239439861,0.109287602013832,0.127485670863202,0.0653846606008954,0.113838370780436,0.0283713830263567,0.0299500241578268,0.0627367577425874,0.216128224908478,0.248694692014086,0.0635924051797599,0.0856679423581038,0.0692921431510817,0.0890488861083167,0.0298547610103207,0.11323896687827,0.0996025091680938,0.0795194561279517,0.065203299158436,0.142228502102302
"bourgonii",0.096787423207117,0.101671394679535,0.179645893387774,0.102624661151878,0.103448999889045,0.250928724544024,0.114175195334498,1,0.0976638177827088,0.143942728221067,0.177242959577929,0.236800105273679,0.273621283487178,0.0944177405342109,0.0971410942786763,0.0938236508947844,0.213720136419557,0.163426659997693,0.315349198108851,0.223428451072969,0.10773549520981,0.268024511674446,0.298170842524538,0.27859016813822,0.339975743297678,0.280181133012278,0.256736267392253,0.116252422856776,0.443355426081148,0.118953734453902,0.29616605089061,0.0989518147576536,0.0917116511566052,0.182653084208681,0.227892111859634,0.0992775436575027,0.103911731594636,0.21987527973857,0.282359345262476,0.157363402642953,0.124066576799199,0.255283080193409,0.3040723676706,0.198815371926855,0.134389083364646,0.207433783105227,0.0779219943757358,0.223510894204609,0.108634105697065,0.210402611211975,0.267537421727126,0.252700527836732,0.172465942775801,0.112636402521465,0.416262176375039,0.132345991320771,NA,0.259758687028049,0.211049939482693,0.175295929620583,0.288340502581523,0.220108583624975,0.146013330994117,0.158594111008483,0.181059786724607,0.215001606871895,0.21110143845644,0.207013490632469,0.153895883380818,0.24396024219941,0.045505611064089,0.170107592872586,0.203892977293823,0.171689907420568,0.196722412551028,0.196638014389092,0.111121410648734,0.270887657119983,0.0634463973918101,0.119928879729436,0.10535873535657,0.192356847419304,0.14626991328429,0.275439666627617,0.149932511988366,0.175325089304076,0.110134012672059,0.312959576254141,0.149446652970655,0.173633577409072,0.150840579016689,0.198812204771765,0.39180808905531,0.244408138966949,0.210002166722233,0.209540297189301,0.181116781581686,0.109562442476616,0.312843602127073,0.199999631033854
"brachyrhachis.aff",0.0439207977524232,0.0340552433235418,0.152500855141639,0.305647233972809,0.0749949745184392,0.21685668070128,0.0959062113723381,0.0976638177827088,1,0.180401063790402,0.111184723310554,0.128034984109323,0.0792901548768506,0.313529110430145,0.849181253760482,0.458950393853531,0.105774946764313,0.0713326979294896,0.0772411156160926,0.161410877977818,0.164645937683021,0.145523344972524,0.13917617471781,0.226549683055425,0.0797360873159519,0.0657856430663619,0.0680621678107491,0.1487569253389,0.131088114958585,0.178120028405703,0.201488715749755,0.156807494702462,0.148220180809277,0.0700420339604069,0.178767646309091,0.135306471477347,0.141721067803747,0.106988518087966,0.0620341432373101,0.0978258118345919,0.205381032138283,0.123453946001902,0.118215563862105,0.110968049649127,0.276030431226335,0.191169359934992,0.179195624162068,0.0967633409229555,0.0846097947626232,0.198189203635624,0.0605897116001789,0.0811535558673933,0.0926028781415314,0.0175612459288336,0.0403535872771644,0.0211104225208462,NA,0.0723766988251466,0.073745699139238,0.180817826104811,0.172626517333286,0.241396439173984,0.152826016716116,0.104401000441475,0.0415946099136112,0.210766941315825,0.148251174234593,0.227065000603694,0.173572478339384,0.229034711707089,0.0270042362042083,0.171523608533277,0.142143748612845,0.357020789420677,0.231886957179237,0.125591827035262,0.0584992076232269,0.0645569243018382,0.0895879339102858,0.0131132502340364,0.175444747191151,0.0971232277414213,0.249667591596763,0.062083789647437,0.162922060322634,0.0302759437759756,0.0607097786139488,0.0852579918083464,0.172124001538843,0.02270448799597,0.137067870748619,0.1421630880415,0.0865306849174124,0.104966683027294,0.0269780732609299,0.21377886336163,0.216908511013661,0.2262969911979,0.0804489057869571,0.263764408370566
"brachystachys",0.0495692641494208,0.0285851859531228,0.222591899978936,0.169251747222173,0.204945204681386,0.293801502857294,0.083091706154796,0.143942728221067,0.180401063790402,1,0.459160136152935,0.419543589862155,0.457809805500746,0.303001329797872,0.194032956759779,0.290987690508702,0.175729584531883,0.058823406795118,0.138141058827001,0.272216666980508,0.0928028564422451,0.237569624424613,0.245659861564435,0.133599866277587,0.188368102771208,0.267645513277411,0.0552014124174632,0.123300485512745,0.139665754888905,0.186013517725922,0.354049524355753,0.779386909287765,0.0948957435125539,0.244101275214653,0.620046492382649,0.207106626022976,0.12270961850184,0.135488931142684,0.106364307015305,0.357832853715834,0.665462870696101,0.0891547803663097,0.148723643483262,0.271143943199424,0.142946142280507,0.270135989189792,0.488591306656062,0.216907164293429,0.332440671478307,0.527974185497881,0.255278176037932,0.114472289050078,0.116947876364731,0.0405816169909505,0.236127720614034,0.0422716487805766,NA,0.102048794311908,0.129686199663664,0.738382328123241,0.331030202352965,0.376800821495837,0.146700380221443,0.313196547382306,0.0559134214377678,0.225183196558397,0.131002107396536,0.329480031147229,0.122521499362197,0.321548717840095,0.0316199069570072,0.635013097223586,0.205192386452044,0.332770950644785,0.327219294878573,0.11721854878476,0.0752725373099952,0.0644126868702068,0.0907649186181484,0.0433627017481569,0.0952924344803223,0.154203703825835,0.16244371231883,0.113562000736669,0.0947432254344822,0.0321686779345492,0.175020551502431,0.0663778819385997,0.134870291562036,0.0242884583764051,0.251993449770734,0.259621399829878,0.122150886253615,0.375305358005961,0.0529413716375485,0.265835189594927,0.304462807171335,0.629130379358593,0.110386659707693,0.347516610665133
