feature_id,cluster_rt,cluster_mz
1743_1,5.275085,475.045885
5891_0,3.817356,1414.807915
3387_0,1.354298,825.468791
62_0,5.928550,118.051083
618_1,4.118955,245.091780
1349_0,3.968156,394.171323
2423_0,6.330682,608.093258
1674_0,1.756430,463.085225
3590_1,7.134946,856.886480
3592_0,7.134946,857.384641
3596_0,7.134946,857.887592
3770_0,7.235479,879.888117
3775_0,7.185212,880.391068
3779_1,7.185212,880.894020
142_2,5.928550,144.065638
108_0,1.555364,134.044933
639_1,5.727483,249.086650
754_2,5.828017,275.067675
833_0,5.828017,292.091378
837_1,5.828017,293.102070
1128_1,5.828017,346.065233
1201_1,5.828017,364.075678
136_1,3.314691,142.049043
4488_0,3.163892,989.541071
4619_0,3.063359,1012.552289
795_1,3.163892,285.059640
253_2,6.531748,171.019035
898_0,1.253765,305.067520
1651_0,1.505097,457.078550
1655_0,1.505097,458.079663
1652_0,1.605630,457.126450
3653_1,4.420554,865.197150
600_0,3.163892,242.078863
5009_1,6.079349,1086.591504
5017_1,6.029083,1087.587826
5026_1,5.978816,1088.588939
573_0,6.531748,236.076978
1754_1,2.761760,477.100800
1195_0,1.153232,361.096290
1898_0,8.291075,504.164368
2113_0,8.291075,549.166530
2730_0,5.325351,667.144525
2733_0,5.425884,667.647477
2736_0,5.425884,668.145638
973_0,1.304031,319.044775
244_1,2.761760,169.012020
2503_0,3.465491,625.045110
2511_0,3.465491,626.051013
3660_0,4.470821,866.203053
898_2,4.671887,305.067520
371_0,2.208828,194.102103
2116_0,5.978816,550.268233
2117_1,5.978816,550.771184
2122_1,5.928550,551.274136
4292_0,4.370288,955.963087
207_1,6.732814,160.059488
1318_0,2.058029,387.163535
1324_0,2.058029,388.169438
1329_0,2.058029,389.180130
1104_1,6.129616,341.107570
2916_0,1.706163,724.174408
1762_1,3.817356,479.050335
420_2,7.788410,203.021105
1569_0,3.415224,440.097958
1575_0,3.364958,441.103860
1585_0,3.415224,442.104973
2329_1,3.767090,592.108988
2337_0,3.716823,593.114890
2342_0,3.767090,594.116003
5476_0,3.767090,1185.232221
5482_0,3.767090,1186.228543
375_1,6.833347,195.050525
2998_0,2.208828,746.155773
816_0,1.203498,289.073670
211_0,2.058029,161.046230
2256_1,2.661227,579.137635
5335_0,2.560694,1155.280276
212_1,6.732814,161.065390
100_0,1.153232,131.046385
56_2,6.531748,116.034488
515_1,7.084679,223.043355
102_2,7.738144,132.028338
230_2,5.275085,165.041100
1991_0,5.777750,520.756969
1104_2,7.989476,341.107570
293_6,8.240809,179.056675
1109_2,8.291075,342.113473
41_2,5.828017,111.009765
2465_0,1.856963,615.096255
1763_0,2.711493,479.083865
1768_0,2.761760,480.084978
77_1,2.661227,125.025340
1157_0,1.153232,352.177288
303_2,4.068689,181.068480
2867_0,4.068689,708.841580
2871_0,4.068689,709.344531
2948_0,4.068689,731.843217
2949_0,4.068689,732.341378
5897_0,4.068689,1418.711774
5898_0,4.018422,1419.708097
5900_0,4.068689,1420.718789
1899_1,5.224818,504.183528
5908_0,2.409894,1426.711094
77_0,1.354298,125.025340
244_0,1.505097,169.012020
248_0,1.354298,170.017923
1817_0,2.610960,489.104570
590_0,1.505097,241.010690
873_0,1.354298,301.058280
1400_0,1.605630,405.049440
227_0,3.817356,164.073518
434_1,4.219488,206.081923
1449_1,7.687877,415.146785
230_1,3.264425,165.041100
